Rank,Feature,SHAP,TemporalAttention,TemporalSignificance,MetaImportance
1,LLM_Engagement,1.0,1.0,0.4809843400447427,1.0
2,Curricular units 2nd sem (approved),0.5814804815244515,0.9042416060273933,0.8478747203579419,0.8163247303769054
3,LLM_Sentiment,0.4023053328333456,0.8213676904697076,0.6196868008948546,0.6376950803301061
4,Curricular units 2nd sem (grade),0.40805319222908554,0.8290679345123724,0.5514541387024608,0.6282523676517966
5,Curricular units 1st sem (approved),0.3538107520175933,0.7624419672995253,0.470917225950783,0.5577138564423325
6,Curricular units 1st sem (grade),0.23867736826344982,0.7096660151102523,0.6577181208053692,0.5175002606918768
7,Tuition fees up to date,0.2029573413885928,0.600587519985287,0.5548098434004475,0.43809224221262477
8,LLM_TopicConsistency,0.20212591399934626,0.36106618713899763,0.6666666666666666,0.3824116761712268
9,Scholarship holder,0.05932784297144712,0.4277682405110576,0.6845637583892618,0.3290651371858494
10,Age at enrollment,0.17926293456513895,0.3571383449201303,0.4720357941834452,0.32490643516999007
