Rank,Feature,SHAP,TemporalAttention,TemporalSignificance,MetaImportance
1,Curricular units 2nd sem (approved),1.0,1.0,0.8478747203579419,0.9695749440715884
2,Curricular units 2nd sem (grade),0.6598668271520539,0.9168655025228473,0.5514541387024608,0.7152838920733733
3,Curricular units 1st sem (approved),0.6212323422497174,0.8431839037457736,0.470917225950783,0.6577547874387474
4,Curricular units 1st sem (grade),0.41028164618178625,0.7848190244508099,0.6577181208053692,0.57213015458721
5,Tuition fees up to date,0.2698910501668199,0.6641892122436718,0.5548098434004475,0.445164257436601
6,Scholarship holder,0.11574212012532957,0.4730685224609082,0.6845637583892618,0.3367043684787896
7,Age at enrollment,0.23034039109550333,0.39495898279791286,0.4720357941834452,0.3280650492238146
8,Application order,0.07273985098360762,0.17791799521701757,1.0,0.2897453240569091
9,Debtor,0.06774291422246487,0.4048491171171336,0.6666666666666666,0.28865952557970587
10,Application mode,0.12975441180217023,0.3661603644743387,0.5033557046979866,0.27539645618298403
