Feature,RF_Importance,RF_Rank,GB_Importance,GB_Rank,Perm_Importance,Perm_Rank,Abs_Correlation,Corr_Rank,Average_Rank,Final_Rank,RF_Score_Norm,GB_Score_Norm,Perm_Score_Norm,Corr_Score_Norm,Composite_Score
Curricular units 2nd sem (approved),0.21692849620830024,1,0.45724065557196486,1,0.08485875706214685,1,0.5695002441277345,2,1.25,1,0.9999999999999999,1.0,1.0000000000000002,0.9959910400745215,0.9989977600186304
Curricular units 2nd sem (grade),0.13343838730903407,2,0.0476096128627677,3,0.014124293785310715,3,0.5717922029440712,1,2.25,2,0.6149280781799035,0.10399993401644107,0.1974358974358975,0.9999999999999999,0.4790909774080605
Tuition fees up to date,0.07312780589321673,4,0.09172657874286809,2,0.0384180790960452,2,0.42914928452624357,5,3.25,3,0.3367644513975183,0.20049849056657643,0.4730769230769235,0.7504973738994312,0.44020930973511235
Curricular units 1st sem (approved),0.12571059114979682,3,0.03005879885842097,6,0.0035028248587570367,8,0.4791120338175431,4,5.25,4,0.5792860439592773,0.06561043501276421,0.07692307692307687,0.8378892843682623,0.3899272100658452
Curricular units 1st sem (grade),0.0719673046848446,5,0.023738713273151597,9,-0.0003389830508474745,24,0.48066906529673775,3,10.25,5,0.3314120038264944,0.05178629447895413,0.03333333333333337,0.8406127525031638,0.3142860960354864
Age at enrollment,0.04883247098922428,6,0.03851938751007329,5,0.0066666666666666315,4,0.25421545776622384,6,5.25,6,0.22470984485686896,0.08411657151063179,0.11282051282051268,0.4445133849670237,0.21654007853875928
Scholarship holder,0.01765981043689927,16,0.008108016900711385,22,0.0014689265536723007,9,0.24535391647177698,7,13.5,7,0.08093573238550764,0.01759673479995825,0.053846153846153905,0.42901329671317323,0.14534797943619826
Debtor,0.020893232089191954,10,0.013764641824210253,14,-0.0021468926553672497,32,0.22940731153092556,8,16.0,8,0.09584887486571822,0.029969665013397456,0.012820512820512834,0.4011204307071909,0.13493987085170484
Curricular units 2nd sem (enrolled),0.018974055011700363,12,0.03957910604032327,4,0.005649717514124275,6,0.14151492624773898,12,8.5,9,0.08699727297794947,0.08643453029312097,0.10128205128205131,0.24738422574423016,0.13052452007433799
Curricular units 2nd sem (evaluations),0.03292023322347261,7,0.02241332843808535,10,-0.003276836158192109,34,0.15499866742824153,11,15.5,10,0.15131964261974898,0.04888723465228953,0.0,0.27096919492118793,0.11779401804830661
Application mode,0.017764302691812752,15,0.012437692340608604,17,-0.0005649717514124575,25,0.18890794672409866,10,16.75,11,0.08141767011376473,0.027067182777186716,0.030769230769230677,0.33028131729877247,0.11738385023973866
Curricular units 1st sem (enrolled),0.020822588072963794,11,0.019756547258288952,11,0.0049717514124293484,7,0.12463453944493175,13,10.5,12,0.09552305151427322,0.04307596581715053,0.09358974358974351,0.21785804327678418,0.11251170104948785
