Model,Method,Num_Features,Test_Accuracy,CV_Accuracy,Precision,Recall,F1_Score
Decision Tree,All Features,34,0.6451977401129944,0.661765316967532,0.6887258288577293,0.6451977401129944,0.6613559157577739
Naive Bayes,All Features,34,0.6666666666666666,0.6815481184922365,0.6467173314890587,0.6666666666666666,0.6527452558969077
Decision Tree,ANOVA F-stat,5,0.6406779661016949,0.6580882059150225,0.6838649210300012,0.6406779661016949,0.6570734318409364
Naive Bayes,ANOVA F-stat,5,0.6870056497175141,0.6993491237743629,0.6338870911687,0.6870056497175141,0.6318318059982045
Decision Tree,ANOVA F-stat,10,0.632768361581921,0.655260949823796,0.6800525564481048,0.632768361581921,0.6503317848815497
Naive Bayes,ANOVA F-stat,10,0.6971751412429379,0.7001933849559291,0.6677615363829144,0.6971751412429379,0.6683092098503831
Decision Tree,ANOVA F-stat,15,0.6802259887005649,0.6804241683248229,0.7030873826060544,0.6802259887005649,0.6896077339286811
Naive Bayes,ANOVA F-stat,15,0.7073446327683616,0.7194076187279744,0.6927373091153571,0.7073446327683616,0.6930383364281669
Decision Tree,ANOVA F-stat,20,0.6655367231638418,0.6660153908853356,0.6928850351107629,0.6655367231638418,0.6763689662751442
Naive Bayes,ANOVA F-stat,20,0.6870056497175141,0.7047139580786166,0.6615224299247334,0.6870056497175141,0.666731686769058
Decision Tree,ANOVA F-stat,25,0.6666666666666666,0.6722320779293426,0.6988348906266794,0.6666666666666666,0.6785988767404892
Naive Bayes,ANOVA F-stat,25,0.6802259887005649,0.6965234659059126,0.6547889882075039,0.6802259887005649,0.6614532786736704
Decision Tree,ANOVA F-stat,30,0.6497175141242938,0.6668532591757966,0.6858406072579512,0.6497175141242938,0.6635669285227478
Naive Bayes,ANOVA F-stat,30,0.6858757062146893,0.6999148946371634,0.6656698967199475,0.6858757062146893,0.6712406188820079
Decision Tree,Mutual Info,5,0.6406779661016949,0.6580882059150225,0.6838649210300012,0.6406779661016949,0.6570734318409364
Naive Bayes,Mutual Info,5,0.6870056497175141,0.6993491237743629,0.6338870911687,0.6870056497175141,0.6318318059982045
Decision Tree,Mutual Info,10,0.6519774011299435,0.6702438887956592,0.6894323832119351,0.6519774011299435,0.6664274490885224
Naive Bayes,Mutual Info,10,0.7152542372881356,0.7177158999192897,0.6909014268517433,0.7152542372881356,0.6820173382545582
