Model,Method,Num_Features,Test_Accuracy,CV_Accuracy,Precision,Recall,F1_Score
Random Forest,All Features,34,0.7717514124293785,0.7779033714509466,0.7660703607645392,0.7717514124293785,0.7661972146431351
AdaBoost,All Features,34,0.7491525423728813,0.7603892471571613,0.742885127663135,0.7491525423728813,0.7452429125707318
XGBoost,All Features,34,0.7706214689265537,0.7691451106369718,0.7616671786668299,0.7706214689265537,0.7642906616872798
Random Forest,ANOVA F-stat,5,0.7062146892655368,0.7174334140435835,0.6937239804956634,0.7062146892655368,0.6991862645529965
AdaBoost,ANOVA F-stat,5,0.7322033898305085,0.7309967316344225,0.7219671332042603,0.7322033898305085,0.7240713488377917
XGBoost,ANOVA F-stat,5,0.7378531073446327,0.7157384987893463,0.7143948977403098,0.7378531073446327,0.7214052536886753
Random Forest,ANOVA F-stat,10,0.7389830508474576,0.7408857350626104,0.7239812717149696,0.7389830508474576,0.7291153325789707
AdaBoost,ANOVA F-stat,10,0.7457627118644068,0.735803786189757,0.7378826899913247,0.7457627118644068,0.7407129108958114
XGBoost,ANOVA F-stat,10,0.735593220338983,0.7369317319141115,0.7153248565807417,0.735593220338983,0.7223289092696673
Random Forest,ANOVA F-stat,15,0.7627118644067796,0.7643412525271898,0.7533665194901317,0.7627118644067796,0.7564871034499416
AdaBoost,ANOVA F-stat,15,0.7581920903954802,0.7507775353806567,0.7523669356164973,0.7581920903954802,0.7541930589047019
XGBoost,ANOVA F-stat,15,0.7548022598870057,0.7553005058375086,0.742011428142404,0.7548022598870057,0.746197711823994
Random Forest,ANOVA F-stat,20,0.7672316384180791,0.7637770798871655,0.7587521682029934,0.7672316384180791,0.7604465113101109
AdaBoost,ANOVA F-stat,20,0.7502824858757062,0.7575611919545466,0.7377229125950235,0.7502824858757062,0.7420644583372425
XGBoost,ANOVA F-stat,20,0.7661016949152543,0.7606705343657852,0.758810257743617,0.7661016949152543,0.7610217986255461
Random Forest,ANOVA F-stat,25,0.7536723163841808,0.7666027377556157,0.7446898007005898,0.7536723163841808,0.7466963270529507
AdaBoost,ANOVA F-stat,25,0.7502824858757062,0.7507811313819033,0.7449371981663933,0.7502824858757062,0.7461203481217012
XGBoost,ANOVA F-stat,25,0.7581920903954802,0.759537793973102,0.7463556096656794,0.7581920903954802,0.7507469688790119
Random Forest,ANOVA F-stat,30,0.7706214689265537,0.7705567409041145,0.7637713337584706,0.7706214689265537,0.7648132176306599
AdaBoost,ANOVA F-stat,30,0.7581920903954802,0.7538872773475893,0.7538064910711791,0.7581920903954802,0.7541948832030925
XGBoost,ANOVA F-stat,30,0.7661016949152543,0.7637762807757773,0.7570485668964566,0.7661016949152543,0.7598090027440701
Random Forest,Mutual Info,5,0.7062146892655368,0.7174334140435835,0.6937239804956634,0.7062146892655368,0.6991862645529965
AdaBoost,Mutual Info,5,0.7322033898305085,0.7309967316344225,0.7219671332042603,0.7322033898305085,0.7240713488377917
XGBoost,Mutual Info,5,0.7378531073446327,0.7157384987893463,0.7143948977403098,0.7378531073446327,0.7214052536886753
Random Forest,Mutual Info,10,0.7502824858757062,0.7448437337680499,0.7399050079168699,0.7502824858757062,0.7437286718131867
AdaBoost,Mutual Info,10,0.7446327683615819,0.7530330272736717,0.7420291914941929,0.7446327683615819,0.7413247995240064
XGBoost,Mutual Info,10,0.7559322033898305,0.7567129352160398,0.7436762960842445,0.7559322033898305,0.7460812621455104
Random Forest,Mutual Info,15,0.7740112994350282,0.7651875114872262,0.7675755281781648,0.7740112994350282,0.7689376471613022
AdaBoost,Mutual Info,15,0.7706214689265537,0.7586943319029239,0.765021740036204,0.7706214689265537,0.766099509508328
XGBoost,Mutual Info,15,0.7762711864406779,0.7617972814230576,0.7678516291547559,0.7762711864406779,0.7695574320457843
Random Forest,Mutual Info,20,0.768361581920904,0.7691431128585013,0.7610022934285314,0.768361581920904,0.7623114791621719
AdaBoost,Mutual Info,20,0.7694915254237288,0.7603856511559146,0.7665153599941652,0.7694915254237288,0.7666614478380139
XGBoost,Mutual Info,20,0.7627118644067796,0.7674509944941226,0.7568360692955427,0.7627118644067796,0.7578892069600331
Random Forest,Mutual Info,25,0.7694915254237288,0.7753617976809787,0.760252625313277,0.7694915254237288,0.761973558429182
AdaBoost,Mutual Info,25,0.7491525423728813,0.755859084697816,0.7532389467898163,0.7491525423728813,0.7497682430903764
XGBoost,Mutual Info,25,0.7706214689265537,0.7697128792782426,0.7611864289638515,0.7706214689265537,0.7635940251838128
Random Forest,Mutual Info,30,0.7740112994350282,0.772820623466705,0.7676302164556172,0.7740112994350282,0.7684150411050774
AdaBoost,Mutual Info,30,0.7548022598870057,0.7603868498229969,0.7479958679219083,0.7548022598870057,0.7505383940046773
