Method,Num_Features,Test_Accuracy,CV_Accuracy,Precision,Recall,F1_Score
All Features,34,0.7288135593220338,0.749360752912312,0.7115960164202991,0.7288135593220338,0.7177133867303359
ANOVA F-stat,5,0.7536723163841808,0.7358021496719905,0.7333927993646068,0.7536723163841808,0.7344947851830838
ANOVA F-stat,10,0.7502824858757062,0.7431486992232238,0.7307247662809883,0.7502824858757062,0.7353072385999657
ANOVA F-stat,15,0.768361581920904,0.7572770661721367,0.7473268935437093,0.768361581920904,0.7503214990455126
ANOVA F-stat,20,0.751412429378531,0.7598194390534926,0.7389027613848675,0.751412429378531,0.7431623480557049
ANOVA F-stat,25,0.7322033898305085,0.7479521570995242,0.7033557089553821,0.7322033898305085,0.7095739518998191
ANOVA F-stat,30,0.7446327683615819,0.7516220775051154,0.7303803742570866,0.7446327683615819,0.7359063554225549
Mutual Info,5,0.7254237288135593,0.7129148037933133,0.7080743336391301,0.7254237288135593,0.7106966955681542
Mutual Info,10,0.7604519774011299,0.7603829732177513,0.7565763824425676,0.7604519774011299,0.7552497282718711
Mutual Info,15,0.7615819209039548,0.751345102380165,0.7405024686927608,0.7615819209039548,0.745457821342597
Mutual Info,20,0.7322033898305085,0.7544526866107925,0.7394152754768275,0.7322033898305085,0.7349919266552398
Mutual Info,25,0.7559322033898305,0.7527560941715424,0.7486077814540704,0.7559322033898305,0.7508475414599305
Mutual Info,30,0.7536723163841808,0.7575602708414197,0.742098449284209,0.7536723163841808,0.7438996217163942
Chi-Square,5,0.7412429378531074,0.720825845900241,0.7282516928012023,0.7412429378531074,0.727728177699664
Chi-Square,10,0.7435028248587571,0.7338211545741627,0.7256152500768077,0.7435028248587571,0.7308430766751748
Chi-Square,15,0.7288135593220338,0.7261952339193897,0.6958367643618398,0.7288135593220338,0.7061116537221053
Chi-Square,20,0.7423728813559322,0.7454114614031808,0.7307923633518077,0.7423728813559322,0.7332407937759314
Chi-Square,25,0.7412429378531074,0.7485202436231031,0.7410922390722569,0.7412429378531074,0.7396494291794395
Chi-Square,30,0.7593220338983051,0.7524716915129647,0.7454789713135639,0.7593220338983051,0.7457051558374377
RFE,5,0.7152542372881356,0.7194146145110047,0.703531737273658,0.7152542372881356,0.6953604813734517
RFE,10,0.7378531073446327,0.7293011409650042,0.7322874204391046,0.7378531073446327,0.731160354714916
RFE,15,0.7446327683615819,0.7524716915129647,0.7351395965675925,0.7446327683615819,0.7371210366345704
RFE,20,0.7468926553672316,0.7663158954011586,0.7310663817867844,0.7468926553672316,0.7363094464182779
RFE,25,0.7333333333333333,0.7620798052548602,0.7075870968344182,0.7333333333333333,0.7141772827690531
RFE,30,0.7615819209039548,0.762643579016978,0.7418794204558862,0.7615819209039548,0.7404095880760754
RF Importance,5,0.7446327683615819,0.7208251271066642,0.7270767398096247,0.7446327683615819,0.7244102501288667
RF Importance,10,0.7468926553672316,0.7487964999544764,0.7270113928770423,0.7468926553672316,0.732193968663086
RF Importance,15,0.7435028248587571,0.7442784031281896,0.7387112117570102,0.7435028248587571,0.7364497057790316
RF Importance,20,0.7581920903954802,0.7572727534106756,0.7441258451096748,0.7581920903954802,0.7466531486041179
RF Importance,25,0.7604519774011299,0.7504976447530464,0.7475013716082383,0.7604519774011299,0.7524269170650085
RF Importance,30,0.7310734463276836,0.741450908794679,0.728016013361985,0.7310734463276836,0.7266462137582969
Info Gain,5,0.7378531073446327,0.7123479152590293,0.7287209556915072,0.7378531073446327,0.7300940141034497
Info Gain,10,0.7581920903954802,0.7575581144606892,0.7370955802790733,0.7581920903954802,0.739652380952381
Info Gain,15,0.7457627118644068,0.756996736677161,0.745292191195804,0.7457627118644068,0.743843971565423
Info Gain,20,0.7491525423728813,0.7377838635633952,0.7487339964443647,0.7491525423728813,0.7476149452659877
Info Gain,25,0.7593220338983051,0.7550143039921795,0.7534831550571683,0.7593220338983051,0.7519616153435786
Info Gain,30,0.7581920903954802,0.7510544701772545,0.7463004415175224,0.7581920903954802,0.75026727544999
Gain Ratio,5,0.7491525423728813,0.7411693813104087,0.7348765769596826,0.7491525423728813,0.7349720075596851
Gain Ratio,10,0.7559322033898305,0.7473874249459707,0.7503006323127133,0.7559322033898305,0.7514062168514476
Gain Ratio,15,0.7661016949152543,0.7544524470129336,0.7599345968662157,0.7661016949152543,0.7605104325679783
Gain Ratio,20,0.7548022598870057,0.7445582534274474,0.7595533295742257,0.7548022598870057,0.756901475322588
Gain Ratio,25,0.751412429378531,0.7569931427092768,0.7348928283663155,0.751412429378531,0.7398205001811325
Gain Ratio,30,0.7615819209039548,0.7555807133307457,0.7385143224233599,0.7615819209039548,0.7389192502702777
Gini Index,5,0.7536723163841808,0.7533181907486476,0.7397205347414033,0.7536723163841808,0.7375303487505757
Gini Index,10,0.7491525423728813,0.7606666570827523,0.7314800198357506,0.7491525423728813,0.7368600832650106
Gini Index,15,0.7627118644067796,0.756424816587839,0.7501616920037657,0.7627118644067796,0.7523814126477322
Gini Index,20,0.7615819209039548,0.7555785569500152,0.7490123816975394,0.7615819209039548,0.7477726135164735
Gini Index,25,0.7491525423728813,0.7584053324899488,0.7380657249251898,0.7491525423728813,0.7419693199799847
Gini Index,30,0.7559322033898305,0.7564274521642874,0.7445879967040927,0.7559322033898305,0.7461926420609637
